+------------------+-------------------+-----+---+----+-----------+-----+------------------+
|         community|         crime_type|month|day|hour|crime_count|label|        prediction|
+------------------+-------------------+-----+---+----+-----------+-----+------------------+
|         RIVERDALE|              THEFT|    1|  7|   2|        1.0|  1.0|1.4303695872025792|
|WASHINGTON HEIGHTS|              THEFT|    1|  1|  10|        1.0|  1.0|1.6370275631163853|
|      LOGAN SQUARE|              THEFT|    1|  1|  21|        1.0|  1.0| 2.005409114119699|
|     MCKINLEY PARK|            BATTERY|    1|  2|   1|        1.0|  1.0|1.1542990398435042|
|     SOUTH CHICAGO|            BATTERY|    1|  2|   0|        1.0|  1.0| 1.476636280148985|
|    NORTH LAWNDALE|            ASSAULT|    1|  1|  16|        1.0|  1.0|  1.48930338357791|
|       ROGERS PARK|            BATTERY|    1|  1|   8|        1.0|  1.0|1.4757509670545654|
|            AUSTIN| DECEPTIVE PRACTICE|    1|  3|  12|        1.0|  1.0| 2.137887108822328|
|    JEFFERSON PARK|              THEFT|    1|  2|   7|        1.0|  1.0|1.4352643326846168|
|          ROSELAND|            ASSAULT|    1|  3|  19|        1.0|  1.0|1.3224494067563537|
|    BELMONT CRAGIN|            ASSAULT|    1|  4|  10|        1.0|  1.0| 1.097940718695647|
|      CHICAGO LAWN|            ROBBERY|    1|  4|  14|        1.0|  1.0|1.1188792192707393|
|           PULLMAN|MOTOR VEHICLE THEFT|    1|  4|  18|        1.0|  1.0| 0.792578393295118|
|    AUBURN GRESHAM|            ASSAULT|    1|  5|   2|        1.0|  1.0|1.2602957440004439|
|WEST GARFIELD PARK|            BATTERY|    1|  5|   9|        1.0|  1.0|1.8034587957577362|
|    NORTH LAWNDALE|            ROBBERY|    1|  5|  23|        2.0|  2.0|1.4830131438295817|
|          ROSELAND|              THEFT|    1|  7|   6|        1.0|  1.0|1.8720879144653981|
|       ALBANY PARK|              THEFT|    1|  1|  10|        1.0|  1.0|1.5753670532331827|
|         EDGEWATER|          NARCOTICS|    1|  1|  11|        1.0|  1.0| 1.309289409744344|
|       FULLER PARK|            BATTERY|    1|  1|  13|        1.0|  1.0|1.2737577740814712|
|       ROGERS PARK|    CRIMINAL DAMAGE|    1|  5|  17|        1.0|  1.0|1.2692826244277107|
|   WASHINGTON PARK|            ASSAULT|    1|  1|  21|        1.0|  1.0|1.0473069428019972|
|    NORTH LAWNDALE|            BATTERY|    1|  2|   8|        3.0|  3.0|1.8779527488631738|
|       SOUTH SHORE|    CRIMINAL DAMAGE|    1|  3|   8|        2.0|  2.0|1.5268677156487018|
|   NEAR NORTH SIDE|              THEFT|    1|  3|  16|        4.0|  4.0|2.6886164344110477|
+------------------+-------------------+-----+---+----+-----------+-----+------------------+
only showing top 25 rows

Deviance Residuals: 
(Note: These are approximate quantiles with relative error <= 0.01)
   Min      1Q  Median      3Q     Max  
-1.945  -0.513  -0.139   0.197  32.303  

Coefficients:
                                                Estimate  Std. Error
(Intercept)                                    0.8306737  0.93976654
community_AUSTIN                               1.2364901  0.04137038
community_SOUTH SHORE                          0.6315810  0.04167904
community_NORTH LAWNDALE                       0.6554387  0.04170905
community_AUBURN GRESHAM                       0.5383916  0.04173111
community_HUMBOLDT PARK                        0.6036283  0.04174177
community_WEST ENGLEWOOD                       0.5278714  0.04179423
community_NEAR WEST SIDE                       0.8083219  0.04178858
community_ROSELAND                             0.4674575  0.04183023
community_ENGLEWOOD                            0.4788808  0.04184377
community_GREATER GRAND CROSSING               0.4683338  0.04185081
community_NEAR NORTH SIDE                      1.1963324  0.04187469
community_WEST TOWN                            0.7581396  0.04190997
community_CHICAGO LAWN                         0.4056334  0.04192162
community_CHATHAM                              0.4562185  0.04195635
community_WEST GARFIELD PARK                   0.5333144  0.04209444
community_SOUTH CHICAGO                        0.3347930  0.04212302
community_EAST GARFIELD PARK                   0.4077681  0.04214292
community_NEW CITY                             0.3404889  0.04213581
community_BELMONT CRAGIN                       0.3189399  0.04215026
community_LAKE VIEW                            0.6059506  0.04216664
community_LOOP                                 1.3052580  0.04217413
community_LOGAN SQUARE                         0.4535815  0.04221649
community_SOUTH LAWNDALE                       0.3146048  0.04222499
community_WEST PULLMAN                         0.2608470  0.04239252
community_WOODLAWN                             0.2404250  0.04249135
community_ROGERS PARK                          0.2449037  0.04256726
community_UPTOWN                               0.2515163  0.04260131
community_PORTAGE PARK                         0.2185116  0.04268044
community_WASHINGTON HEIGHTS                   0.1961222  0.04270476
community_GRAND BOULEVARD                      0.1959205  0.04273271
community_WEST RIDGE                           0.2043846  0.04273335
community_LINCOLN PARK                         0.5008096  0.04275734
community_IRVING PARK                          0.1906526  0.04285536
community_BRIGHTON PARK                        0.1627089  0.04300269
community_WASHINGTON PARK                      0.1630230  0.04300261
community_LOWER WEST SIDE                      0.1636611  0.04315272
community_ASHBURN                              0.1552842  0.04316051
community_DOUGLAS                              0.1573205  0.04319397
community_ALBANY PARK                          0.1344617  0.04321234
community_GAGE PARK                            0.1352017  0.04328429
community_AVONDALE                             0.1349596  0.04343806
community_EDGEWATER                            0.1458088  0.04343845
community_WEST LAWN                            0.1342579  0.04367876
community_MORGAN PARK                          0.1149514  0.04370147
community_GARFIELD RIDGE                       0.1098547  0.04374316
community_SOUTH DEERING                        0.1084467  0.04383943
community_LINCOLN SQUARE                       0.1022268  0.04394588
community_NEAR SOUTH SIDE                      0.1291425  0.04400243
community_DUNNING                              0.0935361  0.04411511
community_HERMOSA                              0.0861853  0.04423150
community_OHARE                                0.1308595  0.04423710
community_BRIDGEPORT                           0.0776778  0.04425391
community_HYDE PARK                            0.1030523  0.04440396
community_CALUMET HEIGHTS                      0.0673469  0.04464119
community_KENWOOD                              0.0569755  0.04486126
community_AVALON PARK                          0.0671788  0.04488684
community_NORTH CENTER                         0.0649379  0.04497102
community_EAST SIDE                            0.0666635  0.04499882
